gene,n_tissue,tissue_1,tissue_2,tissue_3,tissue_4,tissue_5,tissue_6,indirect_association.diseaseId,indirect_association.score,direct_association.diseaseId,direct_association.score,indirect_association.disease,direct_association.disease,ensembl_ID
PABPC1,1,BLOOD,"","","","","",EFO_0000616,0.603080259280705,EFO_0001378,0.416023723090079,"neoplasm: A benign or malignant tissue growth resulting from uncontrolled cell proliferation. Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant cells exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia. Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias.","multiple myeloma: A bone marrow-based plasma cell neoplasm characterized by a serum monoclonal protein and skeletal destruction with osteolytic lesions, pathological fractures, bone pain, hypercalcemia, and anemia. Clinical variants include non-secretory myeloma, smoldering myeloma, indolent myeloma, and plasma cell leukemia. (WHO, 2001)",ENSG00000070756
POLR2E,1,BAT,"","","","","",OTAR_0000017,0.602435312330162,EFO_0000764,0.599986845792876,reproductive system or breast disease: A disease involving the reproductive system or the breast.,HIV infection: An infection caused by the human immunodeficiency virus.,ENSG00000099817
FNTB,1,BLOOD,"","","","","",EFO_0000508,0.601067052816022,Orphanet_740,0.396271733078597,"genetic disorder: Genetic diseases are diseases in which inherited genes predispose to increased risk. The genetic disorders associated with cancer often result from an alteration or mutation in a single gene. The diseases range from rare dominant cancer family syndrome to familial tendencies in which low-penetrance genes may interact with other genes or environmental factors to induce cancer. Research may involve clinical, epidemiologic, and laboratory studies of persons, families, and populations at high risk of these disorders.","Hutchinson-Gilford progeria syndrome: Hutchinson-Gilford progeria syndrome is a rare, fatal, autosomal dominant and premature aging disease, beginning in childhood and characterized by growth reduction, failure to thrive, a typical facial appearance (prominent forehead, protuberant eyes, thin nose with a beaked tip, thin lips, micrognathia and protruding ears) and distinct dermatologic features (generalized alopecia, aged-looking skin, sclerotic and dimpled skin over the abdomen and extremities, prominent cutaneous vasculature, dyspigmentation, nail hypoplasia and loss of subcutaneous fat).",ENSG00000257365
ACE2,1,BAT,"","","","","",EFO_0005741,0.599580412494126,MONDO_0100096,0.566131825397649,"infectious disease: A disorder directly resulting from the presence and activity of a microbial, viral, or parasitic agent. It can be transmitted by direct or indirect contact.",COVID-19: A disease caused by infection with severe acute respiratory syndrome coronavirus 2.,ENSG00000130234
NADK2,1,BLOOD,"","","","","",EFO_0000589,0.598165929176265,MONDO_0014464,0.585262708659698,"metabolic disease: Generic term for diseases caused by an abnormal metabolic process. It can be congenital due to inherited enzyme abnormality (METABOLISM, INBORN ERRORS) or acquired due to disease of an endocrine organ or failure of a metabolically important organ such as the liver. (Stedman, 26th ed)","progressive encephalopathy with leukodystrophy due to DECR deficiency: Progressive encephalopathy with leukodystrophy due to DECR deficiency is a rare mitochondrial disease, which presents with neonatal hypotonia, central nervous system abnormalities (ventriculomegaly, corpus callosum hypoplasia, cerebellar atrophy), acquired microcephaly, failure to thrive, developmental delay and intermittent lactic acidosis provoked by catabolic stress (e.g. infection). Hyperlysinemia and elevated C10:2 carnitine can be detected in plasma. Later on, epilepsy, cerebellar ataxia, renal tubular acidosis, severe encephalopathy, dystonia, spastic quadriplegia and other complications may develop.",ENSG00000152620
RNF13,1,HEART,"","","","","",EFO_0000618,0.596400571809781,Orphanet_1934,0.578027962926694,"nervous system disease: A non-neoplastic or neoplastic disorder that affects the brain, spinal cord, or peripheral nerves.","Early infantile epileptic encephalopathy: Early infantile epileptic encephalopathy (EIEE), or Ohtahara syndrome, is one of the most severe forms of age-related epileptic encephalopathies, characterized by the onset of tonic spasms within the first 3 months of life that can be generalized or lateralized, independent of the sleep cycle and that can occur hundreds of times per day, leading to psychomotor impairment and death.",ENSG00000082996
UBB,1,SPLEEN,"","","","","",EFO_0005741,0.595392158186465,EFO_0000764,0.57276293287957,"infectious disease: A disorder directly resulting from the presence and activity of a microbial, viral, or parasitic agent. It can be transmitted by direct or indirect contact.",HIV infection: An infection caused by the human immunodeficiency virus.,ENSG00000170315
SLC29A1,1,BAT,"","","","","",EFO_0000319,0.593490808901386,EFO_0000712,0.553750479642612,cardiovascular disease: A disease involving the cardiovascular system.,"stroke: A sudden, nonconvulsive loss of neurologic function due to an ischemic or hemorrhagic intracranial vascular event. In general, cerebrovascular accidents are classified by anatomic location in the brain, vascular distribution, etiology, age of the affected individual, and hemorrhagic vs. nonhemorrhagic nature. (From Adams et al., Principles of Neurology, 6th ed, pp777-810)",ENSG00000112759
ACOX2,1,SKM-VL,"","","","","",EFO_0000508,0.593333945675731,Orphanet_79168,0.59139700086456,"genetic disorder: Genetic diseases are diseases in which inherited genes predispose to increased risk. The genetic disorders associated with cancer often result from an alteration or mutation in a single gene. The diseases range from rare dominant cancer family syndrome to familial tendencies in which low-penetrance genes may interact with other genes or environmental factors to induce cancer. Research may involve clinical, epidemiologic, and laboratory studies of persons, families, and populations at high risk of these disorders.","Disorder of bile acid synthesis: Anomalies of bile acid synthesis are a group of sterol metabolism disorders due to enzyme deficiencies of bile acid synthesis (BAS) in infants, children and adults, with variable manifestations that include cholestasis, neurological disease, and fat malabsorption. Nine inborn errors have been described, 7 of which lead to liver cholestasis.",ENSG00000168306
ELOB,1,COLON,"","","","","",EFO_0000763,0.591473071810746,EFO_0000764,0.587962063191242,viral disease: A viral disease is a disease factor that is caused primarily by the infection or otherwise hosting of a virus.,HIV infection: An infection caused by the human immunodeficiency virus.,ENSG00000103363
SLAMF7,1,LUNG,"","","","","",EFO_0000540,0.591278568527372,EFO_0001378,0.537006088566501,immune system disease: A disorder resulting from an abnormality in the immune system.,"multiple myeloma: A bone marrow-based plasma cell neoplasm characterized by a serum monoclonal protein and skeletal destruction with osteolytic lesions, pathological fractures, bone pain, hypercalcemia, and anemia. Clinical variants include non-secretory myeloma, smoldering myeloma, indolent myeloma, and plasma cell leukemia. (WHO, 2001)",ENSG00000026751
LZTS1,1,SMLINT,"","","","","",EFO_0010282,0.588694203326147,EFO_0005922,0.509239975327221,"gastrointestinal disease: A disease that occurs in the gastrointestinal system, excluding the hepatobiliary system.","esophageal squamous cell carcinoma: Esophageal squamous cell carcinoma (ESCC) is a type of esophageal carcinoma (EC) that can affect any part of the esophagus, but is usually located in the upper or middle third.",ENSG00000061337
CORIN,1,HEART,"","","","","",EFO_0009690,0.587184455982365,EFO_0000668,0.573879389250504,urinary system disease: A disease involving the renal system.,"preeclampsia: Preeclampsia is a hypertensive disorder of pregnancy that is characterized by new-onset hypertension with proteinuria presenting after 20 weeks of gestation, and depending on mild or severe forms may initially present with severe headache, visual disturbances, and hyperreflexia.",ENSG00000145244
SEC13,1,BLOOD,"","","","","",EFO_0005741,0.586511425455972,EFO_0000764,0.540921181759359,"infectious disease: A disorder directly resulting from the presence and activity of a microbial, viral, or parasitic agent. It can be transmitted by direct or indirect contact.",HIV infection: An infection caused by the human immunodeficiency virus.,ENSG00000157020
ELOA,1,BLOOD,"","","","","",EFO_0000512,0.585022839930159,EFO_0000764,0.584098890293447,reproductive system disease: Any disease of the reproductive system.,HIV infection: An infection caused by the human immunodeficiency virus.,ENSG00000011007
BLVRA,1,SPLEEN,"","","","","",EFO_0000508,0.584222111002405,Orphanet_276405,0.578941709310048,"genetic disorder: Genetic diseases are diseases in which inherited genes predispose to increased risk. The genetic disorders associated with cancer often result from an alteration or mutation in a single gene. The diseases range from rare dominant cancer family syndrome to familial tendencies in which low-penetrance genes may interact with other genes or environmental factors to induce cancer. Research may involve clinical, epidemiologic, and laboratory studies of persons, families, and populations at high risk of these disorders.","Hyperbiliverdinemia: Hyperbiliverdinemia is a rare, genetic hepatic disease characterized by the presence of green coloration of the skin, urine, plasma and other body fluids (ascites, breastmilk) or parts (sclerae) due to increased serum levels of biliverdin in association with biliary obstruction and/or liver failure. Association with malnutrition, medication, and congenital biliary atresia has also been reported.",ENSG00000106605
PCBP1,1,COLON,"","","","","",MONDO_0023370,0.583017691217213,EFO_0000365,0.533885060422758,neoplastic disease or syndrome: Either an isolated neoplasm or a syndrome with neoplasm as a major feature.,"colorectal adenocarcinoma: The most common type of colorectal carcinoma. It is characterized by the presence of malignant glandular epithelial cells invading through the muscularis mucosa into the submucosa. Histologic variants include mucinous adenocarcinoma, signet ring cell carcinoma, medullary carcinoma, serrated adenocarcinoma, cribriform comedo-type adenocarcinoma, and micropapillary adenocarcinoma.",ENSG00000169564
